ZPN,Symbol,Footprint,MPN,Manufacturer,Description,Type,Directionality,"""Clamping Voltage (Max)""","""Breakdown Voltage (Min)""","""Reverse Voltage (Vr)""",Peak Current,Power,Leakage Current,Capacitance,Max Operating Temperature,Min Operating Temperature,Mounting Type,Package,Pin Count
ZPN-0000001-9,Zelos_NonStandard:Diode-PESD4USB5B (Altium Display 2),Zelos:SOT1165D,PESD4USB5B-TTSX,Nexperia,"DIO,TVS,QUAD,5V,0.24pF,10-WFDFN",Zener,Bidirectional,5.5V,6V,5V,,,,0.24pF,150°C,-55°C,SMT,10-WFDFN,10
ZPN-0000015-3,Zelos_Standard:Diode-Zener_Bidirectional,Zelos:DIOM4326X23N - Bidirectional,SMAJ30CA/TR13,Yageo,"DIO,TVS,1-CH,BI,30V,400W,SMA",,Bidirectional,48.4V,33.3V,30V,,400W,,,150°C,-55°C,SMT,SMA,2
ZPN-0000064-2,Zelos_Standard:Diode-Zener_Bidirectional,Zelos:DIOM4326X23N - Bidirectional,SMAJ58CA,Bourns,"DIO,TVS,1-CH,BI,58V,400W,SMA",,Bidirectional,93.6V,64.4V,58V,,400W,,,150°C,-55°C,SMT,SMA,2
ZPN-0000163-2,Zelos_Standard:Diode-Zener_Bidirectional,Zelos:DIOM4326X23N - Bidirectional,SMAJ48CA,Littelfuse,"DIO,TVS,1-CH,BI,48V,400W,SMA",,Bidirectional,77.4V,53.3V,48V,,400W,,,150°C,-65°C,SMT,SMA,2
ZPN-0000172-1,Zelos_Standard:Diode-Zener_Bidirectional,Zelos:DIOM4326X23N - Bidirectional,SMAJ12CA-13-F,Diodes,"DIO,TVS,1-CH,BI,12V,400W,SMA",,Bidirectional,19.9V,13.3V,12V,,400W,,,150°C,-65°C,SMT,SMA,2
ZPN-0000014-3,Zelos_Standard:Diode-Zener,Zelos:DFN110P160X55-2N,D5V0S1UN2LP1610-7,Diodes,"DIO,TVS,1-CH,UNI,5V,390pF,0603",,Unidirectional,7.4V,5.1V,5V,120A,,,390pF,150°C,-55°C,SMT,0603 (DFN1610-2),2
ZPN-0000025-7,Zelos_NonStandard:Diode-D3V3F8U9LP3810-7 (Altium Display 2),Zelos:U-DFN3810-9 (Type B),D3V3F8U9LP3810-7,Diodes,"DIO,TVS,8-CH,3.3V,0.55pF,9-UDFN",,Unidirectional,5V,5V,3.3V,,32W,1µA,0.55pF,85°C,-55°C,SMT,9-UDFN,9
ZPN-0000080-1,Zelos_Standard:Diode-Zener,Zelos:SODFL360X110-2N,SMF12A-T13,Littelfuse,"DIO,TVS,1-CH,UNI,12V,200W,SOD-1223FL",Zener,Unidirectional,19.9V,13.3V,12V,,200W,2.5µA,100pF,150°C,-55°C,SMD,SOD-123FL,2
ZPN-0000082-2,Zelos_NonStandard:Diode-PUSB3FR4Z (Altium Display 2),Zelos:SOT1176-1,PUSB3FR4Z,Nexperia,"DIO,TVS,QUAD,3.3V,0.29PF,10-WFDFN",Zener,Unidirectional,3V,5.5V,3.3V,,,,0.24pF,85°C,-55°C,SMT,10-WFDFN,10
ZPN-0000084-1,Zelos_Standard:Diode-Zener_Bidirectional,Zelos:SODFL360X110-2N - Bidirectional,SMF12CA,Littelfuse,"DIO,TVS,1-CH,BI,12V,200W,SOD-1223FL",Zener,Bidirectional,19.9V,13.3V,12V,,200W,2.5µA,100pF,150°C,-55°C,SMD,SOD-123FL,2
