ZPN,Symbol,Footprint,MPN,Manufacturer,Description,Resistance,Tolerance,Power Rating,Voltage Rating,Composition,Temperature Coefficient,Min Operating Tempertature,Max Operating Temperature,Qualifications,Mounting Type,Package,Terminations
ZPN-0000089-3,Zelos_Standard:Resistor,Zelos:RESC1005X04N,RMCF0402ZT0R00,Stackpole Electronics,"RES,0R0,100PPM,THICK FILM,0402",0R0,,,0V,Thick Film,,-55°C,155°C,AEC-Q200,SMT,"""0402""",2
ZPN-0000093-2,Zelos_Standard:Resistor,Zelos:RESC1005X04N,RMCF0402JT100R,Stackpole Electronics,"RES,100R,5%,100PPM,THICK FILM,0402",100R,5%,62.5mW,,Thick Film,100ppm/°C,-55°C,155°C,AEC-Q200,SMT,"""0402""",2
ZPN-0000094-2,Zelos_Standard:Resistor,Zelos:RESC1005X04N,RMCF0402JT100K,Stackpole Electronics,"RES,100K,5%,100PPM,THICK FILM,0402",100k,5%,62.5mW,,Thick Film,100ppm/°C,-55°C,155°C,AEC-Q200,SMT,"""0402""",2
ZPN-0000095-2,Zelos_Standard:Resistor,Zelos:RESC1005X04N,RMCF0402JT10R0,Stackpole Electronics,"RES,10R,5%,100PPM,THICK FILM,0402",10R,5%,62.5mW,,Thick Film,100ppm/°C,-55°C,155°C,AEC-Q200,SMT,"""0402""",2
ZPN-0000096-2,Zelos_Standard:Resistor,Zelos:RESC1005X04N,RMCF0402JT10K0,Stackpole Electronics,"RES,10K,5%,100PPM,THICK FILM,0402",10k,5%,62.5mW,,Thick Film,100ppm/°C,-55°C,155°C,AEC-Q200,SMT,"""0402""",2
ZPN-0000097-2,Zelos_Standard:Resistor,Zelos:RESC1005X04N,RMCF0402JT150R,Stackpole Electronics,"RES,150R,5%,100PPM,THICK FILM,0402",150R,5%,62.5mW,,Thick Film,100ppm/°C,-55°C,155°C,AEC-Q200,SMT,"""0402""",2
ZPN-0000098-2,Zelos_Standard:Resistor,Zelos:RESC1005X04N,RMCF0402JT1K00,Stackpole Electronics,"RES,1K,5%,100PPM,THICK FILM,0402",1k,5%,62.5mW,,Thick Film,100ppm/°C,-55°C,155°C,AEC-Q200,SMT,"""0402""",2
ZPN-0000099-2,Zelos_Standard:Resistor,Zelos:RESC1005X04N,RMCF0402JT200R,Stackpole Electronics,"RES,200R,5%,100PPM,THICK FILM,0402",200R,5%,62.5mW,,Thick Film,100ppm/°C,-55°C,155°C,AEC-Q200,SMT,"""0402""",2
ZPN-0000100-2,Zelos_Standard:Resistor,Zelos:RESC1005X04N,RMCF0402JT330R,Stackpole Electronics,"RES,330R,5%,100PPM,THICK FILM,0402",330R,5%,62.5mW,,Thick Film,100ppm/°C,-55°C,155°C,AEC-Q200,SMT,"""0402""",2
ZPN-0000106-2,Zelos_Standard:Resistor,Zelos:RESC1005X04N,RT0402FRE13100KL,Yageo,"RES,100K,1%,50PPM,THIN FILM,0402",100k,1%,62.5mW,,Thin Film,50ppm/°C,-55°C,155°C,,SMT,"""0402""",2
ZPN-0000107-2,Zelos_Standard:Resistor,Zelos:RESC1005X04N,RT0402FRE071KL,Yageo,"RES,1K,1%,50PPM,THIN FILM,0402",1k,1%,62.5mW,,Thin Film,50ppm/°C,-55°C,155°C,,SMT,"""0402""",2
